*******************************************************************************
JPL/HORIZONS               3753 Cruithne (1986 TO)         2023-May-05 16:47:32
Rec #:    3753 (+COV) Soln.date: 2023-Mar-01_06:10:23   # obs: 1216 (1973-2022)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2456900.5 ! 2014-Aug-31.00 (TDB)         Residual RMS= .35645
   EC= .5148627256994029   QR= .4840184658385133   TP= 2457012.169995938
   OM= 126.2462939076055   W=  43.80978547847901   IN= 19.80747881540994
   A= .9976938311662474    MA= 249.5553600271496   ADIST= 1.511369196493981
   PER= .99656             N= .9890269900000001    ANGMOM= .014729875
   DAN= .53459             DDN= 1.16671            L= 168.3137556
   B= 13.566979            MOID= .0710535          TP= 2014-Dec-20.6699959380
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 1.0355             ROTPER= 27.3099
   H= 15.5                 G= .150                 B-V= n.a.
                           ALBEDO= .365            STYP= Q
 
ASTEROID comments: 
1: soln ref.= JPL#240, OCC=0
2: source=ORB
*******************************************************************************

  
  

*******************************************************************************
Ephemeris / WWW_USER Fri May  5 16:47:32 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 3753 Cruithne (1986 TO)         {source: JPL#240}
Center body name: Earth (399)                     {source: DE441}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2007-Sep-01 00:00:00.0000 TDB
Stop  time      : A.D. 2008-Sep-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 286.0058, 40.7517, -2.02709E-12 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 286.0058, 4838.6361, 4141.57364 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
EOP file        : eop.230504.p230727
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-04. PREDICTS-> 2023-JUL-26
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2456900.5 ! 2014-Aug-31.00 (TDB)         Residual RMS= .35645        
   EC= .5148627256994029   QR= .4840184658385133   TP= 2457012.169995938       
   OM= 126.2462939076055   W=  43.80978547847901   IN= 19.80747881540994       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 1.215347990905840E+00  Y= 5.153520927692684E-01  Z=-2.481738801145509E-01
  VX=-7.990656955364673E-03 VY= 8.039467650712289E-03 VZ= 3.939584837771865E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 1.0355             ROTPER= 27.3099             
   H= 15.5                 G= .150                 B-V= n.a.                   
                           ALBEDO= .365            STYP= Q                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
2454366.500000000, A.D. 2007-Sep-23 00:00:00.0000,  1.284782936188471E+07,  7.510114921443987E+07, -6.305379869052405E+07,
2454367.500000000, A.D. 2007-Sep-24 00:00:00.0000,  1.136349603586018E+07,  7.375013279918462E+07, -6.286900583293319E+07,
2454368.500000000, A.D. 2007-Sep-25 00:00:00.0000,  9.899156464974135E+06,  7.238859633716938E+07, -6.267495070465791E+07,
2454369.500000000, A.D. 2007-Sep-26 00:00:00.0000,  8.454669729169697E+06,  7.101689938675161E+07, -6.247153379440165E+07,
2454370.500000000, A.D. 2007-Sep-27 00:00:00.0000,  7.029895838493854E+06,  6.963538161126910E+07, -6.225865394210859E+07,
2454371.500000000, A.D. 2007-Sep-28 00:00:00.0000,  5.624700366313815E+06,  6.824436719298233E+07, -6.203620769914536E+07,
2454372.500000000, A.D. 2007-Sep-29 00:00:00.0000,  4.238956719849139E+06,  6.684417132982792E+07, -6.180408859800027E+07,
2454373.500000000, A.D. 2007-Sep-30 00:00:00.0000,  2.872545064774334E+06,  6.543510727934899E+07, -6.156218649668299E+07,
2454374.500000000, A.D. 2007-Oct-01 00:00:00.0000,  1.525348099624634E+06,  6.401749206201516E+07, -6.131038714944728E+07,
2454375.500000000, A.D. 2007-Oct-02 00:00:00.0000,  1.972449684849083E+05,  6.259164950418410E+07, -6.104857206775416E+07,
2454376.500000000, A.D. 2007-Oct-03 00:00:00.0000, -1.111895036869824E+06,  6.115791038406986E+07, -6.077661863104898E+07,
2454377.500000000, A.D. 2007-Oct-04 00:00:00.0000, -2.402217744209975E+06,  5.971661034501496E+07, -6.049440034598443E+07,
2454378.500000000, A.D. 2007-Oct-05 00:00:00.0000, -3.673887826430172E+06,  5.826808657197614E+07, -6.020178715158661E+07,
2454379.500000000, A.D. 2007-Oct-06 00:00:00.0000, -4.927091066150546E+06,  5.681267407270728E+07, -5.989864570240231E+07,
2454380.500000000, A.D. 2007-Oct-07 00:00:00.0000, -6.162035515271366E+06,  5.535070205754109E+07, -5.958483960091288E+07,
2454381.500000000, A.D. 2007-Oct-08 00:00:00.0000, -7.378951923251003E+06,  5.388249060183816E+07, -5.926022957731614E+07,
2454382.500000000, A.D. 2007-Oct-09 00:00:00.0000, -8.578093702413708E+06,  5.240834759261811E+07, -5.892467362623492E+07,
2454383.500000000, A.D. 2007-Oct-10 00:00:00.0000, -9.759736574925259E+06,  5.092856589715257E+07, -5.857802711088219E+07,
2454384.500000000, A.D. 2007-Oct-11 00:00:00.0000, -1.092417795905021E+07,  4.944342070106734E+07, -5.822014284121650E+07,
2454385.500000000, A.D. 2007-Oct-12 00:00:00.0000, -1.207173611527134E+07,  4.795316700098535E+07, -5.785087112822026E+07,
2454386.500000000, A.D. 2007-Oct-13 00:00:00.0000, -1.320274907693146E+07,  4.645803726710851E+07, -5.747005981415720E+07,
2454387.500000000, A.D. 2007-Oct-14 00:00:00.0000, -1.431757341445382E+07,  4.495823929641864E+07, -5.707755427908751E+07,
2454388.500000000, A.D. 2007-Oct-15 00:00:00.0000, -1.541658290359519E+07,  4.345395425476851E+07, -5.667319742672348E+07,
2454389.500000000, A.D. 2007-Oct-16 00:00:00.0000, -1.650016716998824E+07,  4.194533486518326E+07, -5.625682965612776E+07,
2454390.500000000, A.D. 2007-Oct-17 00:00:00.0000, -1.756873035541238E+07,  4.043250365560640E+07, -5.582828882848027E+07,
2454391.500000000, A.D. 2007-Oct-18 00:00:00.0000, -1.862268979587336E+07,  3.891555114815508E+07, -5.538741023874471E+07,
2454392.500000000, A.D. 2007-Oct-19 00:00:00.0000, -1.966247462297335E+07,  3.739453386796468E+07, -5.493402659941816E+07,
2454393.500000000, A.D. 2007-Oct-20 00:00:00.0000, -2.068852410614324E+07,  3.586947208798236E+07, -5.446796803710957E+07,
2454394.500000000, A.D. 2007-Oct-21 00:00:00.0000, -2.170128546152528E+07,  3.434034732545519E+07, -5.398906209104697E+07,
2454395.500000000, A.D. 2007-Oct-22 00:00:00.0000, -2.270121079918678E+07,  3.280709978657282E+07, -5.349713368611157E+07,
2454396.500000000, A.D. 2007-Oct-23 00:00:00.0000, -2.368875293555866E+07,  3.126962621910121E+07, -5.299200503369859E+07,
2454397.500000000, A.D. 2007-Oct-24 00:00:00.0000, -2.466436006118301E+07,  2.972777891573854E+07, -5.247349540087228E+07,
2454398.500000000, A.D. 2007-Oct-25 00:00:00.0000, -2.562846978748980E+07,  2.818136673418927E+07, -5.194142069866095E+07,
2454399.500000000, A.D. 2007-Oct-26 00:00:00.0000, -2.658150378285417E+07,  2.663015869296927E+07, -5.139559289152463E+07,
2454400.500000000, A.D. 2007-Oct-27 00:00:00.0000, -2.752386463874359E+07,  2.507388981359703E+07, -5.083581931868271E+07,
2454401.500000000, A.D. 2007-Oct-28 00:00:00.0000, -2.845593625481616E+07,  2.351226770532212E+07, -5.026190210044482E+07,
2454402.500000000, A.D. 2007-Oct-29 00:00:00.0000, -2.937808778882270E+07,  2.194497769600581E+07, -4.967363781213236E+07,
2454403.500000000, A.D. 2007-Oct-30 00:00:00.0000, -3.029067975257136E+07,  2.037168473680798E+07, -4.907081751843636E+07,
2454404.500000000, A.D. 2007-Oct-31 00:00:00.0000, -3.119407012648109E+07,  1.879203163727102E+07, -4.845322712643942E+07,
2454405.500000000, A.D. 2007-Nov-01 00:00:00.0000, -3.208861877471752E+07,  1.720563450335412E+07, -4.782064792420219E+07,
2454406.500000000, A.D. 2007-Nov-02 00:00:00.0000, -3.297468946878500E+07,  1.561207681646702E+07, -4.717285716498436E+07,
2454407.500000000, A.D. 2007-Nov-03 00:00:00.0000, -3.385264973187196E+07,  1.401090338303941E+07, -4.650962860872980E+07,
2454408.500000000, A.D. 2007-Nov-04 00:00:00.0000, -3.472286913843067E+07,  1.240161483270519E+07, -4.583073299392644E+07,
2454409.500000000, A.D. 2007-Nov-05 00:00:00.0000, -3.558571670765527E+07,  1.078366284340250E+07, -4.513593845436608E+07,
2454410.500000000, A.D. 2007-Nov-06 00:00:00.0000, -3.644155783490069E+07,  9.156445979501586E+06, -4.442501091244046E+07,
2454411.500000000, A.D. 2007-Nov-07 00:00:00.0000, -3.729075098376317E+07,  7.519305926378116E+06, -4.369771448127641E+07,
2454412.500000000, A.D. 2007-Nov-08 00:00:00.0000, -3.813364419184496E+07,  5.871523918480285E+06, -4.295381190150484E+07,
2454413.500000000, A.D. 2007-Nov-09 00:00:00.0000, -3.897057134238528E+07,  4.212317223247921E+06, -4.219306503030173E+07,
2454414.500000000, A.D. 2007-Nov-10 00:00:00.0000, -3.980184811269397E+07,  2.540835619324319E+06, -4.141523539362690E+07,
2454415.500000000, A.D. 2007-Nov-11 00:00:00.0000, -4.062776751194974E+07,  8.561578706590775E+05, -4.062008480894805E+07,
2454416.500000000, A.D. 2007-Nov-12 00:00:00.0000, -4.144859494760469E+07, -8.427117644139454E+05, -3.980737608504012E+07,
2454417.500000000, A.D. 2007-Nov-13 00:00:00.0000, -4.226456279159532E+07, -2.556846942201246E+06, -3.897687380771232E+07,
2454418.500000000, A.D. 2007-Nov-14 00:00:00.0000, -4.307586443682512E+07, -4.287402530901037E+06, -3.812834522421164E+07,
2454419.500000000, A.D. 2007-Nov-15 00:00:00.0000, -4.388264782769678E+07, -6.035617794469565E+06, -3.726156124282181E+07,
2454420.500000000, A.D. 2007-Nov-16 00:00:00.0000, -4.468500841043185E+07, -7.802819481310857E+06, -3.637629756656843E+07,
2454421.500000000, A.D. 2007-Nov-17 00:00:00.0000, -4.548298138545724E+07, -9.590424826695289E+06, -3.547233597897447E+07,
2454422.500000000, A.D. 2007-Nov-18 00:00:00.0000, -4.627653307208491E+07, -1.139994441729874E+07, -3.454946579489520E+07,
2454423.500000000, A.D. 2007-Nov-19 00:00:00.0000, -4.706555114713223E+07, -1.323298474081857E+07, -3.360748548033968E+07,
2454424.500000000, A.D. 2007-Nov-20 00:00:00.0000, -4.784983354537496E+07, -1.509125005150125E+07, -3.264620443453677E+07,
2454425.500000000, A.D. 2007-Nov-21 00:00:00.0000, -4.862907598154247E+07, -1.697654296393234E+07, -3.166544492076359E+07,
2454426.500000000, A.D. 2007-Nov-22 00:00:00.0000, -4.940285842682023E+07, -1.889076305724465E+07, -3.066504414121144E+07,
2454427.500000000, A.D. 2007-Nov-23 00:00:00.0000, -5.017063140275392E+07, -2.083590292621320E+07, -2.964485648883276E+07,
2454428.500000000, A.D. 2007-Nov-24 00:00:00.0000, -5.093170338803332E+07, -2.281404172607660E+07, -2.860475607893641E+07,
2454429.500000000, A.D. 2007-Nov-25 00:00:00.0000, -5.168523053415712E+07, -2.482733722862007E+07, -2.754463973927778E+07,
2454430.500000000, A.D. 2007-Nov-26 00:00:00.0000, -5.243020897436098E+07, -2.687801819723731E+07, -2.646443066573189E+07,
2454431.500000000, A.D. 2007-Nov-27 00:00:00.0000, -5.316546861847696E+07, -2.896837879840180E+07, -2.536408289003788E+07,
2454432.500000000, A.D. 2007-Nov-28 00:00:00.0000, -5.388966634827471E+07, -3.110077563621134E+07, -2.424358658027419E+07,
2454433.500000000, A.D. 2007-Nov-29 00:00:00.0000, -5.460127664161423E+07, -3.327762651730182E+07, -2.310297408551504E+07,
2454434.500000000, A.D. 2007-Nov-30 00:00:00.0000, -5.529857866880920E+07, -3.550140915194575E+07, -2.194232660810388E+07,
2454435.500000000, A.D. 2007-Dec-01 00:00:00.0000, -5.597964004513115E+07, -3.777465800587232E+07, -2.076178143410201E+07,
2454436.500000000, A.D. 2007-Dec-02 00:00:00.0000, -5.664229809649166E+07, -4.009995808760194E+07, -1.956153972212603E+07,
2454437.500000000, A.D. 2007-Dec-03 00:00:00.0000, -5.728413962965998E+07, -4.247993507351719E+07, -1.834187489891750E+07,
2454438.500000000, A.D. 2007-Dec-04 00:00:00.0000, -5.790248003303771E+07, -4.491724155893403E+07, -1.710314172349206E+07,
2454439.500000000, A.D. 2007-Dec-05 00:00:00.0000, -5.849434231340032E+07, -4.741453935904704E+07, -1.584578606824468E+07,
2454440.500000000, A.D. 2007-Dec-06 00:00:00.0000, -5.905643652451690E+07, -4.997447776250977E+07, -1.457035543571341E+07,
2454441.500000000, A.D. 2007-Dec-07 00:00:00.0000, -5.958513999393943E+07, -5.259966755516060E+07, -1.327751019113485E+07,
2454442.500000000, A.D. 2007-Dec-08 00:00:00.0000, -6.007647879107148E+07, -5.529265054003847E+07, -1.196803544601287E+07,
2454443.500000000, A.D. 2007-Dec-09 00:00:00.0000, -6.052611098306701E+07, -5.805586421190340E+07, -1.064285347631263E+07,
2454444.500000000, A.D. 2007-Dec-10 00:00:00.0000, -6.092931237917524E+07, -6.089160121765914E+07, -9.303036500159591E+06,
2454445.500000000, A.D. 2007-Dec-11 00:00:00.0000, -6.128096565497646E+07, -6.380196326419649E+07, -7.949819573652752E+06,
2454446.500000000, A.D. 2007-Dec-12 00:00:00.0000, -6.157555395726521E+07, -6.678880923813526E+07, -6.584613289775614E+06,
2454447.500000000, A.D. 2007-Dec-13 00:00:00.0000, -6.180716029215698E+07, -6.985369748942858E+07, -5.209015884605020E+06,
2454448.500000000, A.D. 2007-Dec-14 00:00:00.0000, -6.196947416178381E+07, -7.299782250266775E+07, -3.824824268452354E+06,
2454449.500000000, A.D. 2007-Dec-15 00:00:00.0000, -6.205580700948960E+07, -7.622194652336854E+07, -2.434043408739392E+06,
2454450.500000000, A.D. 2007-Dec-16 00:00:00.0000, -6.205911804134388E+07, -7.952632709629613E+07, -1.038893400749750E+06,
2454451.500000000, A.D. 2007-Dec-17 00:00:00.0000, -6.197205191026057E+07, -8.291064188238873E+07,  3.581865203435719E+05,
2454452.500000000, A.D. 2007-Dec-18 00:00:00.0000, -6.178698959114945E+07, -8.637391253109212E+07,  1.754537835643474E+06,
2454453.500000000, A.D. 2007-Dec-19 00:00:00.0000, -6.149611356221944E+07, -8.991442979782808E+07,  3.147287302012611E+06,
2454454.500000000, A.D. 2007-Dec-20 00:00:00.0000, -6.109148815000629E+07, -9.352968254417276E+07,  4.533357017694980E+06,
2454455.500000000, A.D. 2007-Dec-21 00:00:00.0000, -6.056515555829407E+07, -9.721629380086792E+07,  5.909480685130224E+06,
2454456.500000000, A.D. 2007-Dec-22 00:00:00.0000, -5.990924755553637E+07, -1.009699677523354E+08,  7.272226557289530E+06,
2454457.500000000, A.D. 2007-Dec-23 00:00:00.0000, -5.911611182684326E+07, -1.047854522250878E+08,  8.618027262647860E+06,
2454458.500000000, A.D. 2007-Dec-24 00:00:00.0000, -5.817845044676354E+07, -1.086565216998681E+08,  9.943216357563600E+06,
2454459.500000000, A.D. 2007-Dec-25 00:00:00.0000, -5.708946596119410E+07, -1.125759855217596E+08,  1.124407109549774E+07,
2454460.500000000, A.D. 2007-Dec-26 00:00:00.0000, -5.584300877606183E+07, -1.165357245615019E+08,  1.251686055250034E+07,
2454461.500000000, A.D. 2007-Dec-27 00:00:00.0000, -5.443371863707982E+07, -1.205267573589674E+08,  1.375789789635574E+07,
2454462.500000000, A.D. 2007-Dec-28 00:00:00.0000, -5.285715320058583E+07, -1.245393344744754E+08,  1.496359521954109E+07,
2454463.500000000, A.D. 2007-Dec-29 00:00:00.0000, -5.110989769170121E+07, -1.285630579772764E+08,  1.613051900441440E+07,
2454464.500000000, A.D. 2007-Dec-30 00:00:00.0000, -4.918965088956951E+07, -1.325870218039497E+08,  1.725544402843530E+07,
2454465.500000000, A.D. 2007-Dec-31 00:00:00.0000, -4.709528390124949E+07, -1.365999678831699E+08,  1.833540342504828E+07,
2454466.500000000, A.D. 2008-Jan-01 00:00:00.0000, -4.482686942184968E+07, -1.405904522547359E+08,  1.936773273040251E+07,
2454467.500000000, A.D. 2008-Jan-02 00:00:00.0000, -4.238568054094993E+07, -1.445470149223754E+08,  2.035010606072776E+07,
2454468.500000000, A.D. 2008-Jan-03 00:00:00.0000, -3.977415965245638E+07, -1.484583470032129E+08,  2.128056303825434E+07,
2454469.500000000, A.D. 2008-Jan-04 00:00:00.0000, -3.699585954085341E+07, -1.523134489857389E+08,  2.215752565727816E+07,
2454470.500000000, A.D. 2008-Jan-05 00:00:00.0000, -3.405536008115105E+07, -1.561017746029797E+08,  2.297980489266241E+07,
2454471.500000000, A.D. 2008-Jan-06 00:00:00.0000, -3.095816504900979E+07, -1.598133558934489E+08,  2.374659743798569E+07,
2454472.500000000, A.D. 2008-Jan-07 00:00:00.0000, -2.771058419825374E+07, -1.634389063238573E+08,  2.445747346720769E+07,
2454473.500000000, A.D. 2008-Jan-08 00:00:00.0000, -2.431960600422831E+07, -1.669699002295783E+08,  2.511235670357034E+07,
2454474.500000000, A.D. 2008-Jan-09 00:00:00.0000, -2.079276633401716E+07, -1.703986281540694E+08,  2.571149833155412E+07,
2454475.500000000, A.D. 2008-Jan-10 00:00:00.0000, -1.713801786693932E+07, -1.737182288382762E+08,  2.625544639833087E+07,
2454476.500000000, A.D. 2008-Jan-11 00:00:00.0000, -1.336360443810030E+07, -1.769226995715974E+08,  2.674501233294842E+07,
2454477.500000000, A.D. 2008-Jan-12 00:00:00.0000, -9.477943691106662E+06, -1.800068873432052E+08,  2.718123608841179E+07,
2454478.500000000, A.D. 2008-Jan-13 00:00:00.0000, -5.489520566224813E+06, -1.829664637168054E+08,  2.756535121605235E+07,
2454479.500000000, A.D. 2008-Jan-14 00:00:00.0000, -1.406793279039361E+06, -1.857978865870583E+08,  2.789875094593398E+07,
2454480.500000000, A.D. 2008-Jan-15 00:00:00.0000,  2.761887367872164E+06, -1.884983519703234E+08,  2.818295610049433E+07,
2454481.500000000, A.D. 2008-Jan-16 00:00:00.0000,  7.008345176825158E+06, -1.910657387753635E+08,  2.841958543160404E+07,
2454482.500000000, A.D. 2008-Jan-17 00:00:00.0000,  1.132463257831854E+07, -1.934985491712364E+08,  2.861032875468298E+07,
2454483.500000000, A.D. 2008-Jan-18 00:00:00.0000,  1.570307211319370E+07, -1.957958468268860E+08,  2.875692306164296E+07,
2454484.500000000, A.D. 2008-Jan-19 00:00:00.0000,  2.013628617604722E+07, -1.979571950361791E+08,  2.886113162940872E+07,
2454485.500000000, A.D. 2008-Jan-20 00:00:00.0000,  2.461721599602082E+07, -1.999825965921987E+08,  2.892472600797837E+07,
2454486.500000000, A.D. 2008-Jan-21 00:00:00.0000,  2.913913112265468E+07, -2.018724371534664E+08,  2.894947068139555E+07,
2454487.500000000, A.D. 2008-Jan-22 00:00:00.0000,  3.369563110558345E+07, -2.036274335780305E+08,  2.893711015650069E+07,
2454488.500000000, A.D. 2008-Jan-23 00:00:00.0000,  3.828064144264380E+07, -2.052485881432098E+08,  2.888935824589488E+07,
2454489.500000000, A.D. 2008-Jan-24 00:00:00.0000,  4.288840595610221E+07, -2.067371487664762E+08,  2.880788935132992E+07,
2454490.500000000, A.D. 2008-Jan-25 00:00:00.0000,  4.751347738904122E+07, -2.080945745702340E+08,  2.869433158740140E+07,
2454491.500000000, A.D. 2008-Jan-26 00:00:00.0000,  5.215070731736468E+07, -2.093225057064344E+08,  2.855026158938578E+07,
2454492.500000000, A.D. 2008-Jan-27 00:00:00.0000,  5.679523576631792E+07, -2.104227363882127E+08,  2.837720082644384E+07,
2454493.500000000, A.D. 2008-Jan-28 00:00:00.0000,  6.144248047255164E+07, -2.113971904146058E+08,  2.817661321335527E+07,
2454494.500000000, A.D. 2008-Jan-29 00:00:00.0000,  6.608812560628286E+07, -2.122478988685322E+08,  2.794990380020543E+07,
2454495.500000000, A.D. 2008-Jan-30 00:00:00.0000,  7.072810985495788E+07, -2.129769799428809E+08,  2.769841832699552E+07,
2454496.500000000, A.D. 2008-Jan-31 00:00:00.0000,  7.535861392694311E+07, -2.135866209654130E+08,  2.742344345359393E+07,
2454497.500000000, A.D. 2008-Feb-01 00:00:00.0000,  7.997604766871519E+07, -2.140790626936800E+08,  2.712620750560450E+07,
2454498.500000000, A.D. 2008-Feb-02 00:00:00.0000,  8.457703707404236E+07, -2.144565858954720E+08,  2.680788160751723E+07,
2454499.500000000, A.D. 2008-Feb-03 00:00:00.0000,  8.915841150757390E+07, -2.147215001555917E+08,  2.646958110298076E+07,
2454500.500000000, A.D. 2008-Feb-04 00:00:00.0000,  9.371719148305453E+07, -2.148761347659856E+08,  2.611236718767537E+07,
2454501.500000000, A.D. 2008-Feb-05 00:00:00.0000,  9.825057733208884E+07, -2.149228314586453E+08,  2.573724870422708E+07,
2454502.500000000, A.D. 2008-Feb-06 00:00:00.0000,  1.027559390584807E+08, -2.148639386240649E+08,  2.534518406997830E+07,
